Data	N.Mes	Leitura	Neutro	Pessimista	Otimista
01/08/2010	44	13811.900000000001	14349.035065088285	14302.694583456954	15372.9862969355
01/09/2010	45	14158.5	14399.216071576415	14347.828955437311	15416.608593594305
01/10/2010	46	14495.2	14449.397078064545	14393.105755931552	15459.272080399642
01/11/2010	47	14218.2	14499.578084552675	14438.525434394955	15501.018001360018
01/12/2010	48	14207.0	14549.759091040805	14484.088441701117	15541.884995201517
01/01/2011	49	13806.6	14599.940097528935	14529.79523014644	15581.909310276204
01/02/2011	50	13841.0	14650.121104017067	14575.646253454617	15621.124997757912
01/03/2011	51	14364.5	14700.302110505196	14621.64196678114	15659.564085705808
01/04/2011	52	14590.2	14750.483116993328	14667.782826717816	15697.256736225214
01/05/2011	53	14347.4	14800.664123481458	14714.069291297286	15734.231387657876
01/06/2011	54	14317.199999999999	14850.845129969588	14760.5018199976	15770.514883481002
01/07/2011	55	14251.2	14901.026136457718	14807.080873746749	15806.132589378594
01/08/2011	56	14370.2	14951.207142945848	14853.806914927263	15841.108499764016
01/09/2011	57	14710.7	15001.388149433978	14900.680407380789	15875.465334874258
01/10/2011	58	14728.900000000001	15051.569155922109	14947.701816412691	15909.22462941987
01/11/2011	59	14765.7	15101.75016241024	14994.871608796693	15942.406813656826
01/12/2011	60	14778.699999999999	15151.93116889837	15042.19025277948	15975.031287644611
01/01/2012	61	14741.2	15202.1121753865	15089.658218085367	16007.11648936643
01/02/2012	62	15168.2	15252.293181874631	15137.275975920962	16038.67995731038
01/03/2012	63	15006.5	15302.474188362761	15185.043998979832	16069.738388043499
01/04/2012	64	15219.7	15352.655194850891	15232.962761447207	16100.307689251826
01/05/2012	65	15159.2	15402.836201339021	15281.032739004671	16130.403028668305
01/06/2012	66	14837.7	15453.017207827153	15329.254408834917	16160.038879265294
01/07/2012	67	14584.6	15503.198214315284	15377.628249626436	16189.229061048734
01/08/2012	68	14656.6	15553.379220803414	15426.154741578313	16217.986779756116
01/09/2012	69	15213.5	15603.560227291544	15474.834366404972	16246.324662729434
01/10/2012	70	15387.699999999999	15653.741233779674	15523.667607340956	16274.25479220711
01/11/2012	71	15324.7	15703.922240267804	15572.654949145734	16301.788736254513
01/12/2012	72	15425.6	15754.103246755934	15621.796878108506	16328.937577531311
01/01/2013	73	15458.699999999999	15804.284253244066	15671.093882053041	16355.71194007465
01/02/2013	74	16020.8	15854.465259732195	15720.5464503425	16382.122014260181
01/03/2013	75	16295.300000000001	15904.646266220327	15770.155073884313	16408.177580087704
01/04/2013	76	16314.900000000001	15954.827272708457	15819.920245135041	16433.888028924564
01/05/2013	77	15606.8	16005.008279196587	15869.842458105271	16459.26238382779
01/06/2013	78	15294.3	16055.189285684717	15919.922208364518	16484.309318555002
01/07/2013	79	16431.6	16105.370292172847	15970.15999304614	16509.037175364367
01/08/2013	80	16783.7	16155.551298660977	16020.556310852271	16533.453981694922
01/09/2013	81	17320.7	16205.732305149108	16071.111662058793	16557.567465810796
01/10/2013	82	17173.6	16255.91331163724	16121.82654852027	16581.3850714856
01/11/2013	83	17173.6	16306.094318125368	16172.701473674959	16604.913971796766
01/12/2013	84	17691.2	16356.2753246135	16223.736942549784	16628.161082093804
01/01/2014	85	17457.6	16406.45633110163	16274.93346176536	16651.13307219921
01/02/2014	86	17390.199999999997	16456.63733758976	16326.291539541035	16673.83637789573
01/03/2014	87	17419.4	16506.81834407789	16377.811685699908	16696.27721174966
01/04/2014	88	17540.2	16556.99935056602	16429.494411673906	16718.4615733156
01/05/2014	89	17181.1	16607.180357054152	16481.340230508868	16740.395258764594
01/06/2014	90	16893.3	16657.36136354228	16533.34965686962	16762.0838699744
01/07/2014	91	16334.2	16707.542370030413	16585.52320704509	16783.5328231175
01/08/2014	92	16758.6	16757.723376518545	16637.86139895345	16804.74735677974
01/09/2014	93	17696.0	16807.904383006673	16690.36475214723	16825.73253964017
01/10/2014	94	17481.7	16858.0853894948	16743.033787818495	16846.49327774012
01/11/2014	95	17729.4	16908.266395982933	16795.869028804	16867.034321367657
01/12/2014	96	17553.8	16958.447402471065	16848.870999590417	16887.360271581616
01/01/2015	97	17874.5	17008.628408959194	16902.040226319496	16907.475586397522
01/02/2015	98	17856.0	17058.809415447326	16955.377236793312	16927.384586656302
01/03/2015	99	17800.1	17108.990421935458	17008.882560479513	16947.091461595086
01/04/2015	100	18185.7	17159.171428423586	17062.55672851655	16966.60027413801
01/05/2015	101	17626.300000000003	17209.352434911714	17116.400273718973	16985.914965923854
01/06/2015	102	17161.199999999997	17259.533441399846	17170.41373058271	17005.039362085907
01/07/2015	103	16388.6	17309.714447887978	17224.597635290367	17023.97717579875
01/08/2015	104	17346.8	17359.895454376106	17278.952525716562	17042.73201260531
01/09/2015	105	17709.9	17410.07646086424	17333.47894143327	17061.3073745369
01/10/2015	106	18350.0	17460.257467352367	17388.177423715148	17079.706664037974
01/11/2015	107	18693.2	17510.4384738405	17443.048515544946	17097.93318770663
01/12/2015	108	18803.6	17560.619480328627	17498.09276161887	17115.9901598611
01/01/2016	109	17539.1	17610.80048681676	17553.31070835201	17133.88070594192
01/02/2016	110	18106.2	17660.98149330489	17608.702903883746	17151.607865758695
01/03/2016	111	18434.0	17711.16249979302	17664.2698980832	17169.17459658997
01/04/2016	112	18594.9	17761.34350628115	17720.012242554687	17186.583776144114
01/05/2016	113	18185.5	17811.52451276928	17775.930490643197	17203.838205388543
01/06/2016	114	17823.1	17861.70551925741	17832.02519743989	17220.94061125436
01/07/2016	115	17212.199999999997	17911.88652574554	17888.296919787597	17237.893649222835
01/08/2016	116	18032.5	17962.067532233672	17944.74621628636	17254.69990579997
01/09/2016	117	18480.5	18012.248538721804	18001.37364729896	17271.361900884793
01/10/2016	118	18584.0	18062.429545209932	18058.17977495649	17287.882090036925
01/11/2016	119	18855.9	18112.610551698064	18115.165163163954	17304.262866648405
01/12/2016	120	18674.3	18162.791558186193	18172.33037760582	17320.506564024712
01/01/2017	121	18191.6	18212.972564674325	18229.67598575168	17336.615457379372
01/02/2017	122	18575.5	18263.153571162453	18287.202556861852	17352.59176574653
01/03/2017	123	18877.4	18313.334577650585	18344.91066199305	17368.437653815392
01/04/2017	124	18617.1	18363.515584138717	18402.800874004042	17384.15523369048
01/05/2017	125	19124.1	18413.696590626845	18460.87376756135	17399.746566581107
01/06/2017	126	18070.0	18463.877597114973	18519.12991914493	17415.213664423598
01/07/2017	127	16998.3	18514.058603603105	18577.569907053923	17430.558491439377
01/08/2017	128	17839.5	18564.239610091237	18636.19431141238	17445.782965631926
01/09/2017	129	17749.7	18614.420616579366	18695.003714175014	17460.88896022552
01/10/2017	130	18798.1	18664.601623067498	18753.998699133004	17475.878305048405
01/11/2017	131	18890.9	18714.78262955563	18813.179851919755	17490.75278786298
01/12/2017	132	19349.5	18764.963636043758	18872.54776001674	17505.514155645393
01/01/2018	133	18445.7	18815.144642531886	18932.103012759315	17520.164115816853
01/02/2018	134	18480.7	18865.32564902002	18991.84620134258	17534.704337428833
01/03/2018	135	19112.6	18915.50665550815	19051.777918827243	17549.136452304196
01/04/2018	136	18700.8	18965.68766199628	19111.8987601455	17563.462056136217
01/05/2018	137	18121.0	19015.86866848441	19172.209322106955	17577.682709547356
01/06/2018	138	17486.3	19066.049674972543	19232.710203404535	17591.799939109533
01/07/2018	139	17223.8	19116.23068146067	19293.40200462043	17605.815238327534
01/08/2018	140	17961.0	19166.4116879488	19354.285328232076	17619.73006858721
01/09/2018	141	18521.7	19216.59269443693	19415.3607786181	17633.54586006991
01/10/2018	142	19012.6	19266.773700925063	19476.628962064355	17647.264012634612
01/11/2018	143	19130.5	19316.95470741319	19538.090486769917	17660.885896669086
01/12/2018	144	18309.6	19367.135713901323	19599.74596285312	17674.41285391141
