Data	N.Mes	Leitura	Neutro	Pessimista	Otimista
01/01/2007	1	12793.1	12191.251786098677	12490.50094563392	8027.456030971231
01/02/2007	2	12610.4	12241.432792586807	12529.91665940811	9372.93130735133
01/03/2007	3	12513.0	12291.613799074938	12569.456755582907	10159.98388968112
01/04/2007	4	12777.7	12341.79480556307	12609.121626666267	10718.40658373143
01/05/2007	5	12631.8	12391.9758120512	12648.911666404776	11151.552876174523
01/06/2007	6	12522.3	12442.15681853933	12688.827269787549	11505.45916606122
01/07/2007	7	12572.800000000001	12492.33782502746	12728.868833050148	11804.682670623719
01/08/2007	8	12720.0	12542.51883151559	12769.036753678512	12063.881860111527
01/09/2007	9	12956.8	12592.69983800372	12809.331430412924	12292.511748391013
01/10/2007	10	13230.0	12642.88084449185	12849.753263251932	12497.02815255462
01/11/2007	11	13035.5	12693.06185097998	12890.302653456365	12682.035744175302
01/12/2007	12	13068.5	12743.242857468113	12930.980003553277	12850.93444244132
01/01/2008	13	12965.2	12793.423863956243	12971.785717339966	13006.306183465013
01/02/2008	14	13059.5	12843.604870444373	13012.720199887966	13150.157947003816
01/03/2008	15	12899.199999999999	12893.785876932503	13053.783857547089	13284.080734884412
01/04/2008	16	13201.7	12943.966883420633	13094.977097949435	13409.357136491628
01/05/2008	17	13229.099999999999	12994.147889908763	13136.300330013466	13527.036226995917
01/06/2008	18	12998.8	13044.328896396893	13177.753963948031	13637.987024771111
01/07/2008	19	12979.9	13094.509902885024	13219.338411256469	13742.937476164367
01/08/2008	20	13258.8	13144.690909373156	13261.054084740681	13842.50342893472
01/09/2008	21	13367.7	13194.871915861286	13302.901398505222	13937.210529333608
01/10/2008	22	13570.7	13245.052922349416	13344.880767961422	14027.511020555401
01/11/2008	23	13513.6	13295.233928837546	13386.99260983151	14113.796804019543
01/12/2008	24	13226.5	13345.414935325676	13429.237342152739	14196.40971882142
01/01/2009	25	12836.599999999999	13395.595941813806	13471.615384281547	14275.649721377813
01/02/2009	26	12919.6	13445.776948301936	13514.127156897719	14351.781459845113
01/03/2009	27	13088.5	13495.957954790068	13556.773082008556	14425.039607100904
01/04/2009	28	13079.8	13546.138961278199	13599.553582953069	14495.633223383915
01/05/2009	29	12849.7	13596.319967766329	13642.469084406186	14563.74935303977
01/06/2009	30	12901.8	13646.500974254459	13685.520012382953	14629.556011264513
01/07/2009	31	12858.2	13696.681980742589	13728.70679424278	14693.204680930281
01/08/2009	32	13093.8	13746.86298723072	13772.02985869368	14754.832412871727
01/09/2009	33	13424.7	13797.04399371885	13815.489635796508	14814.563602885193
01/10/2009	34	13590.800000000001	13847.22500020698	13859.086556969252	14872.511503376016
01/11/2009	35	13690.0	13897.40600669511	13902.821054991306	14928.779515827007
01/12/2009	36	13859.099999999999	13947.587013183242	13946.69356400776	14983.462301151212
01/01/2010	37	13895.0	13997.768019671372	13990.704519533725	15036.646737880079
01/02/2010	38	14329.3	14047.949026159502	14034.85435845864	15088.412752544466
01/03/2010	39	14459.6	14098.130032647632	14079.143519050624	15138.834042174905
01/04/2010	40	14124.2	14148.311039135762	14123.572440960814	15187.97870531482
01/05/2010	41	14283.8	14198.492045623892	14168.14156522773	15235.909795105503
01/06/2010	42	14084.900000000001	14248.673052112023	14212.851334281666	15282.685805713707
01/07/2010	43	13736.800000000001	14298.854058600155	14257.70219194907	15328.361101515628
